Date,Source,Title,Link,Category
2015-07-29,Tampa Tribune,"‘Go Hillsborough’ supporters promised to listen, and they have",http://tbo.com/list/columns-jhenderson/go-hillsborough-supporters-promised-to-listen-and-they-have-20150729/,news
2015-07-24,SaintPetersBlog,Sierra Club says it has NOT taken a position on proposed transportation tax,http://www.saintpetersblog.com/archives/236140,news
2015-07-25,Tampa Tribune,Hillsborough businesses ready to cheer sales tax hike for transportation,http://tbo.com/news/politics/hillsborough-businesses-ready-to-cheer-sales-tax-hike-for-transportation-20150725/,news
2015-07-20,Tampa Tribune,HART: $30 million in sales tax money would help with traffic big-time,http://tbo.com/news/breaking-news/hart-30-million-in-sales-tax-money-would-make-huge-difference-for-transit-20150720/,news
2015-07-20,Tampa Bay Times,HART looks at what bus service would be like with — and without — half-cent tax,http://www.tampabay.com/news/transportation/masstransit/hart-looks-at-what-bus-service-would-be-like-with-8212-and-without-8212/2238059,news
2015-07-16,Tampa Bay Times,Hillsborough's transportation plan to hold 100 more public meetings to get voter input,http://www.tampabay.com/news/transportation/its-meeting-time-hillsboroughs-transportation-plan-will-hold-100-more/2237609,news
2015-07-16,Tampa Tribune,Transportation leaders advance half-cent sales tax plan,http://tbo.com/news/politics/transportation-leaders-set-to-vote-on-sales-tax-20150716/,news
2015-07-16,SaintPetersBlog,Hillsborough County transportation tax proposal moves forward,http://www.saintpetersblog.com/archives/235616,news
2015-07-14,Tampa Tribune,Andrew Bowen: Sierra Club and tea party premature in opposition to Go Hillsborough,http://tbo.com/list/news-opinion-commentary/andrew-bowen-sierra-club-and-tea-party-premature-in-opposition-to-go-hillsborough-20150714/,news
2015-07-13,Tampa Tribune,Hillsborough wants public’s ideas for spending tax increase on transit,http://tbo.com/news/business/hillsborough-wants-publics-ideas-for-spending-tax-increase-on-transit-20150713/,news
2015-07-09,Tampa Bay Times,"Tampa Bay Sierra Club, Tea Party both skeptical of Hillsborough's transportation sales tax plan",http://www.tampabay.com/news/transportation/tampa-bay-sierra-club-skeptical-of-hillsboroughs-transportation-sales-tax/2236746,news
2015-07-09,SaintPetersBlog,Sierra Club says BOCC needs to change things now before it will support transportation tax,http://www.saintpetersblog.com/archives/235118,news
2015-06-27,Tampa Bay Times,Half-cent tax would get Hillsborough transit plan rolling,http://www.tampabay.com/news/transportation/half-cent-tax-would-get-hillsborough-transit-plan-rolling/2235354,news
2015-06-28,Tampa Tribune,Editorial: Targeting sprawl in Hillsborough County key to transportation planning,http://tbo.com/list/news-opinion-editorials/editorial-targeting-sprawl-in-hillsborough-county-key-to-transportation-planning-20150628/,news
2015-06-26,Tampa Bay Times,Day: Wider roads are not the answer for traffic-clogged Tampa,http://www.tampabay.com/opinion/columns/day-wider-roads-are-not-the-answer-for-traffic-clogged-tampa/2235247,news
2015-06-20,Tampa Tribune,Does ferry’s fate depend on transportation tax vote?,http://tbo.com/news/politics/does-ferrys-fate-depend-on-transportation-tax-vote-20150620/,news
